"company_code","company_name","board","listing_date","industry","city","total_market_cap_yi","float_market_cap_yi","pe","is_current_year_new","market_cap_rank","is_top10_market_cap"
"920344.BJ","三元基因","北证","2021-01-08","医药制造业","北京市",22.8394,9.3329,123.7459,FALSE,103,FALSE
"920106.BJ","林泰新材","北证","2024-12-18","汽车制造业","南通市",22.8298,11.2804,18.117,FALSE,104,FALSE
"920086.BJ","科马材料","北证","2026-01-16","汽车制造业","丽水市",22.761,7.2745,25.1786,TRUE,105,FALSE
"920579.BJ","机科股份","北证","2023-11-30","通用设备制造业","北京市",22.6978,7.8139,-40.798,FALSE,106,FALSE
"920505.BJ","九菱科技","北证","2022-12-21","金属制品业","荆州市",22.5453,6.1945,155.0642,FALSE,107,FALSE
"920790.BJ","联迪信息","北证","2022-09-02","软件和信息技术服务业","南京市",22.2292,7.4318,-965.5302,FALSE,108,FALSE
"920227.BJ","美登科技","北证","2022-12-28","软件和信息技术服务业","杭州市",21.6125,6.0029,49.2755,FALSE,109,FALSE
"920252.BJ","天宏锂电","北证","2023-01-19","电气机械和器材制造业","湖州市",21.4437,8.5419,255.6945,FALSE,110,FALSE
"920010.BJ","凯添燃气","北证","2020-07-27","燃气生产和供应业","银川市",21.363,8.568,76.5032,FALSE,111,FALSE
"920089.BJ","禾昌聚合","北证","2021-11-09","橡胶和塑料制品业","苏州市",21.2321,10.5724,12.9159,FALSE,112,FALSE
"920662.BJ","方盛股份","北证","2022-11-28","通用设备制造业","无锡市",21.1433,6.0932,129.5499,FALSE,113,FALSE
"920914.BJ","远航精密","北证","2022-11-11","计算机、通信和其他电子设备制造业","宜兴市",20.9434,12.1446,37.8456,FALSE,114,FALSE
"920035.BJ","精创电气","北证","2025-12-02","仪器仪表制造业","徐州市",20.9093,4.7399,33.9113,FALSE,115,FALSE
"920207.BJ","众诚科技","北证","2022-09-23","软件和信息技术服务业","郑州市",20.8176,8.5223,512.5204,FALSE,116,FALSE
"920273.BJ","一致魔芋","北证","2023-02-21","食品制造业","宜昌市",20.8096,7.687,37.397,FALSE,117,FALSE
"920121.BJ","江天科技","北证","2025-12-25","印刷和记录媒介复制业","苏州市",20.7983,3.7437,18.2939,FALSE,118,FALSE
"920055.BJ","隆源股份","北证","2026-03-31","汽车制造业","宁波市",20.7332,4.665,13.8665,TRUE,119,FALSE
"920779.BJ","武汉蓝电","北证","2023-06-01","仪器仪表制造业","武汉市",20.6353,5.1626,34.2837,FALSE,120,FALSE
"920592.BJ","华信永道","北证","2023-07-10","软件和信息技术服务业","北京市",20.5381,8.2733,-53.4726,FALSE,121,FALSE
"920693.BJ","阿为特","北证","2023-10-27","金属制品业","上海市",20.4287,6.3329,-3031.5554,FALSE,122,FALSE
"920124.BJ","南特科技","北证","2025-11-27","通用设备制造业","珠海市",20.3467,9.459,22.8262,FALSE,123,FALSE
"920112.BJ","巴兰仕","北证","2025-08-28","专用设备制造业","上海市",20.3368,5.9663,13.8085,FALSE,124,FALSE
"920751.BJ","惠同新材","北证","2023-07-17","金属制品业","益阳市",20.3239,12.2339,42.8631,FALSE,125,FALSE
"920892.BJ","广咨国际","北证","2021-10-28","专业技术服务业","广州市",20.3229,6.1691,18.7582,FALSE,126,FALSE
"920167.BJ","同享科技","北证","2020-07-27","电气机械和器材制造业","苏州市",20.2339,6.5874,32.9082,FALSE,127,FALSE
"920017.BJ","星昊医药","北证","2023-05-31","医药制造业","北京市",20.2069,11.3181,18.4029,FALSE,128,FALSE
"920405.BJ","海希通讯","北证","2021-11-05","仪器仪表制造业","上海市",20.1974,9.2941,39.8587,FALSE,129,FALSE
"920748.BJ","路桥信息","北证","2023-08-16","软件和信息技术服务业","厦门市",20.0445,3.917,-29.4023,FALSE,130,FALSE
"920152.BJ","昆工科技","北证","2022-09-01","专用设备制造业","昆明市",19.8077,11.9745,-9.1718,FALSE,131,FALSE
"920694.BJ","中裕科技","北证","2023-04-24","橡胶和塑料制品业","泰州市",19.7472,5.0632,21.3998,FALSE,132,FALSE
"920171.BJ","志晟信息","北证","2021-11-15","软件和信息技术服务业","廊坊市",19.6257,7.8875,190.8443,FALSE,133,FALSE
